,0
297,0.12916666666666668
298,-0.1
299,0.5
300,0.55
301,0.6
302,0.55
303,0.66
304,0.55
305,0.55
306,0.55
307,0.11000000000000001
308,0.3666666666666667
309,0.7
310,0.65
311,0.3666666666666667
312,0.375
313,0.04999999999999999
314,0.3666666666666667
315,0.4
316,0.1
317,0.6
318,0.6
319,0.6
320,0.7
321,0.6
322,0.6
323,0.6
324,0.6
325,0.6
326,-0.2583333333333333
327,0.6
328,0.7
329,0.41666666666666663
330,2.7755575615628914e-17
331,0.3666666666666667
332,0.6
333,0.9375
334,1.0
335,0.6
336,-0.6499999999999999
337,-0.4
338,1.0
339,-0.16249999999999998
340,0.32499999999999996
341,-0.6499999999999999
342,0.3666666666666667
343,-0.4
344,0.55
345,0.6
346,0.6
347,0.5
348,0.5
349,0.6
350,0.3666666666666667
351,0.32499999999999996
352,-0.5
353,0.5
354,0.7
355,0.55
356,0.14666666666666667
357,0.5
358,0.6
359,-0.5
360,0.5
361,0.6
362,0.6
363,0.6
364,0.3
365,-0.06666666666666665
366,0.6
367,0.6
368,-0.6
369,-0.6499999999999999
370,0.5
371,-0.4000000000000001
372,-0.15874999999999995
373,0.5
374,0.3
375,0.55
376,0.7
377,0.6
378,0.5
379,0.5
380,0.6
381,-0.7
382,0.55
383,0.3666666666666667
384,-0.4666666666666666
385,-0.64
386,-0.12333333333333334
387,-0.5
388,0.55
389,0.6
390,0.15000000000000002
391,0.875
392,0.6
393,0.2
394,0.55
395,0.6
396,0.13333333333333333
397,0.6
398,-0.09999999999999999
399,-0.6499999999999999
400,-0.12499999999999994
401,0.5
402,0.3833333333333333
403,0.55
404,0.36666666666666664
405,-0.6499999999999999
406,-0.20222222222222222
407,0.3333333333333333
408,0.4
409,0.6
410,0.425
411,-0.3
412,-0.65
413,-0.6499999999999999
414,0.1
415,1.0
416,0.55
417,0.4
418,0.2
419,0.4
420,0.7
421,0.35555555555555557
422,0.1
423,0.7
424,-0.04999999999999999
425,0.6
426,0.6
427,-0.75
428,0.6
429,-0.2333333333333333
430,0.12
431,-0.11666666666666665
432,-0.3333333333333333
433,-0.0012500000000000011
434,0.2991666666666667
435,-0.2111111111111111
436,-0.6499999999999999
437,-0.4333333333333333
438,-0.6499999999999999
439,0.125
440,-0.6
441,-0.16666666666666666
442,-0.12916666666666665
443,0.07500000000000001
444,0.5
445,0.6499999999999999
446,0.6
447,0.6
448,-0.5
449,0.6
450,-0.5
451,-0.5
452,0.3666666666666667
453,0.55
454,0.3666666666666667
455,0.1
456,0.7
457,0.6
458,0.875
459,0.7
460,0.7
461,0.7
462,0.7
463,0.5
464,0.7
465,0.875
466,0.5
467,0.325
468,0.2
469,0.9299999999999998
470,0.31583333333333335
471,0.6
472,0.75
473,-0.09999999999999999
474,0.1
475,0.05
476,0.19999999999999998
477,0.03233333333333328
478,-0.09999999999999999
479,-0.45
480,0.3125
481,0.10833333333333335
482,0.5
483,0.10666666666666667
484,0.6
485,0.6
486,0.33476190476190476
487,0.75
488,0.755
489,0.9599999999999999
490,1.0
491,0.13333333333333333
492,0.7
493,0.13333333333333333
494,0.9
495,0.7
496,-0.6499999999999999
497,-0.6499999999999999
498,0.6
499,0.9599999999999999
500,-0.26666666666666666
501,-0.00833333333333334
502,0.6
503,0.6
504,0.7
505,0.55
506,0.7
507,0.875
508,0.2
509,0.1
510,0.13333333333333333
511,0.4149999999999999
512,-0.3
513,-0.6499999999999999
514,-0.6499999999999999
515,0.6
516,-0.275
517,-0.6499999999999999
518,0.13333333333333333
519,-0.1
520,0.55
521,-0.3
522,0.6
523,0.03333333333333333
524,0.75
525,0.6
526,0.6
527,0.4
528,-0.024999999999999967
529,0.3666666666666667
530,0.109375
531,-0.5
532,0.55
533,0.6
534,0.32000000000000006
535,0.275
536,0.625
537,-0.7
538,-0.1
539,-0.5599999999999999
540,0.05
541,-0.6
542,-0.6499999999999999
543,0.7000000000000001
544,-0.6499999999999999
545,0.55
546,0.05
547,-0.6499999999999999
548,-0.3
549,0.3666666666666667
550,0.6
551,-0.1
552,-0.09999999999999996
553,0.25
554,0.7
555,-0.6499999999999999
556,-0.024999999999999967
557,0.13208333333333333
558,0.55
559,0.7
560,0.7
561,0.9599999999999999
562,-0.3
563,0.3277777777777778
564,0.7000000000000001
565,-0.32499999999999996
566,0.6
567,0.13333333333333333
568,0.6
569,-0.5
570,0.6
571,0.48333333333333334
572,0.9599999999999999
573,0.05
574,0.875
575,0.875
576,0.7
577,0.7
578,0.6
579,-0.08333333333333329
580,0.6
581,0.4
582,-0.12499999999999994
583,0.7
584,0.7
585,0.4
586,-0.7
587,0.55
588,0.7
589,-0.6499999999999999
590,0.3
591,-0.5
592,0.6
593,-0.25
594,-0.2
595,-0.1
596,0.1
597,-0.18333333333333335
598,-0.6499999999999999
599,-0.6499999999999999
600,1.0
601,0.7
602,0.3666666666666667
603,-0.475
604,-0.033333333333333326
605,0.18333333333333335
606,-0.1416666666666666
607,-0.6499999999999999
608,0.19999999999999998
609,-0.2925
610,0.4444444444444444
611,0.6
612,-1.0
613,0.55
614,0.475
615,0.6
616,0.6
617,-0.5055555555555555
618,-0.6499999999999999
619,-0.14999999999999997
620,0.15000000000000002
621,-0.16833333333333333
622,-0.2333333333333333
623,-0.2333333333333333
624,-0.2333333333333333
625,0.43541666666666673
626,0.3333333333333333
627,-0.4
