,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
555,"Ik heb 3 uur gewandeld in (Esbeek) en nu zit ik buiten, bij een restaurant te eten en te drinken! ???????????",4: Drinken,,0,"['drink', 'eten', 'restaurant']","['uur', 'gewandeld', 'esbek', 'zit', 'buit', 'restaurant', 'eten', 'drink']",0.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4
598,Wat zij ik net en ik moet eten zie je op school??,4: Drinken,,0,['eten'],"['net', 'eten', 'zie', 'schol']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,4
600,Demi je maakt mij heel honger,4: Drinken,,0,['honger'],"['demi', 'maakt', 'hel', 'honger']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,0.0,0.0,1.0,0.0,0.0,4
601,Jayce Help Me Demi maakt mij honger,4: Drinken,,0,['honger'],"['jayc', 'help', 'demi', 'maakt', 'honger']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
602,Door al dat praten heb ik geen honger meer veel,4: Drinken,,0,['honger'],"['prat', 'honger']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
610,Ik lig met diesel op de bank maar heb zin om naar jou te lopen en thee voor de buikpijn te maken,4: Drinken,2.0,0,['thee'],"['lig', 'diesel', 'bank', 'zin', 'jou', 'lop', 'thee', 'buikpijn', 'mak']",0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,4
629,Ik heb ook honger,4: Drinken,,0,['honger'],['honger'],0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
630,Mijn tel ging bijna in de vla,4: Drinken,2.3,0,['vla'],"['tel', 'ging', 'bijna', 'vla']",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
633,Ik heb er niet zin in om te eten hhahaha,4: Drinken,,0,['eten'],"['zin', 'eten', 'hhahaha']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
634,??????wie heeft er honger,4: Drinken,,0,['honger'],['honger'],0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
641,Ik krijg er honger van,4: Drinken,,0,['honger'],"['krijg', 'honger']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
645,Ja demi zo nu eten,4: Drinken,,0,['eten'],"['demi', 'eten']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
646,Nu effe eten beren honger,4: Drinken,,0,"['eten', 'honger']","['eff', 'eten', 'ber', 'honger']",0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4
649,Ja over je zelf en over sport en drinken,4: Drinken,,0,['drink'],"['sport', 'drink']",0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
679,Beetje vroeg maar boeie we hadden honger van het schaatsen,4: Drinken,,0,['honger'],"['beetj', 'vroeg', 'boei', 'we', 'had', 'honger', 'schaats']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,4
704,Je hebt ook een chocolade fontein bij een suhsi restaurant jij waar wij altijd eten,4: Drinken,5.0,0,"['eten', 'restaurant', 'chocolad']","['hebt', 'chocolad', 'fontein', 'suhsi', 'restaurant', 'jij', 'war', 'wij', 'eten']",0.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.0,0.0,1.0,0.0,0.0,4
726,Wij gaan vanavond in een restaurant eten. In dqt restaurant hebben ze een chocolade fontein,4: Drinken,5.0,0,"['eten', 'restaurant', 'restaurant', 'chocolad']","['wij', 'gan', 'vanavond', 'restaurant', 'eten', 'dqt', 'restaurant', 'chocolad', 'fontein']",2.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4
769,Ik krijg honger van dat plaatje:-D ,4: Drinken,,0,['honger'],"['krijg', 'honger', 'plaatj']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
771,Ik krijg er honger van leuke haar kleur ??????????????????????????????????????????????????????????,4: Drinken,,0,['honger'],"['krijg', 'honger', 'leuk', 'kleur']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,4
772,Gum gum morgen nog wat mag je morgen nog honger,4: Drinken,,0,['honger'],"['gum', 'gum', 'morg', 'mag', 'morg', 'honger']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
773,Morgen nog honger,4: Drinken,,0,['honger'],"['morg', 'honger']",0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
799,Ik zit lekker in een restaurant,4: Drinken,,1,['restaurant'],"['zit', 'lekker', 'restaurant']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,4
847,Poeder suiker mee,4: Drinken,4.0,0,['suiker'],"['poeder', 'suiker', 'mee']",0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
868,Lekker ik heb honger als ik dat zie,4: Drinken,,0,['honger'],"['lekker', 'honger', 'zie']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,1.0,0.0,0.0,4
887,Moet ik van de opas drinken,4: Drinken,,1,['drink'],"['opas', 'drink']",1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
901,Heb honger!!!!!,4: Drinken,,0,['honger'],['honger'],2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
914,Hoezo heb jij er al acht gehad ik maar twee een over eten en de anderen over jullie en drinken,4: Drinken,,0,"['drink', 'eten']","['hoezo', 'jij', 'acht', 'gehad', 'twee', 'eten', 'ander', 'jullie', 'drink']",0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4
998,Heb jij geen honger,4: Drinken,,0,['honger'],"['jij', 'honger']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1037,Honger??,4: Drinken,,0,['honger'],['honger'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1040,Jawel ik lig in bed de hele dag al bijna eten en weer naar bed,4: Drinken,,0,['eten'],"['jawel', 'lig', 'bed', 'hel', 'dag', 'bijna', 'eten', 'wer', 'bed']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2583333333333333,0.0,0.0,1.0,0.0,0.0,4
1060,Lekker drinken!! Hahahahaha??,4: Drinken,,0,['drink'],"['lekker', 'drink', 'hahahahaha']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9375,0.0,0.0,1.0,0.0,0.0,4
1087,Lepel,4: Drinken,,0,['lepel'],['lepel'],0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1115,Maar je moet wel zelf bord en lepel meenemen ,4: Drinken,,0,['lepel'],"['wel', 'bord', 'lepel', 'meenem']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1116,Over water drinken over groente en fruit eten als tussendoortje Over hoeveel honger Ik had en ja dat was het,4: Drinken,1.25,0,"['fruit', 'drink', 'eten', 'honger', 'groent', 'tussendoortj']","['water', 'drink', 'groent', 'fruit', 'eten', 'tussendoortj', 'hoevel', 'honger']",0.0,10.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1132,Ik krijg al honger als ik het zie,4: Drinken,,1,['honger'],"['krijg', 'honger', 'zie']",2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1133,Wie mij als eerst aanraakt krijgt een gebakke ei,4: Drinken,4.0,0,['gebak'],"['eerst', 'aanraakt', 'krijgt', 'gebak', 'ei']",0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1155,Komende restaurant Noordwijkerhout stel je over iemand die,4: Drinken,,0,['restaurant'],"['komend', 'restaurant', 'noordwijkerhout', 'stel']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1158,Ik ben thee aan het drinken,4: Drinken,2.0,1,"['drink', 'thee']","['thee', 'drink']",2.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1163,Ik krijg honger als ik dit zie??????,4: Drinken,,0,['honger'],"['krijg', 'honger', 'zie']",2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1200,Creusly met melk ook lekker??,4: Drinken,3.6,0,['melk'],"['creusly', 'melk', 'lekker']",2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,4
1217,Nu heb ik dorst??,4: Drinken,,0,['dorst'],['dorst'],2.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1226,Maar heb je honger,4: Drinken,,0,['honger'],['honger'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1231,Had jij ook iets met zo'n tussendoortje en water enzo??,4: Drinken,,0,['tussendoortj'],"['jij', 'tussendoortj', 'water', 'enzo']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1232,Had jij ook iets met water en fruit??,4: Drinken,1.5,0,['fruit'],"['jij', 'water', 'fruit']",0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1251,Ik heb een foto vraag net gekregen en ik was aan het eten,4: Drinken,,0,['eten'],"['foto', 'vrag', 'net', 'gekreg', 'eten']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,4
1260,Lopen op de grond dat is gezond,4: Drinken,,0,['gezond'],"['lop', 'grond', 'gezond']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,4
1264,Like als je honger krijgt,4: Drinken,,4,['honger'],"['lik', 'honger', 'krijgt']",2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1267,Ik krijg dorst,4: Drinken,,0,['dorst'],"['krijg', 'dorst']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1270,Ik krijg dorst like??,4: Drinken,,1,['dorst'],"['krijg', 'dorst', 'lik']",2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1271,Dorst ??,4: Drinken,,0,['dorst'],['dorst'],2.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
1274,HONGER??,4: Drinken,,0,['honger'],['honger'],0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1305,Ik zit een kipcorn te eten,4: Drinken,2.0,0,"['kipcorn', 'eten']","['zit', 'kipcorn', 'eten']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1306, Wat eten jullie ik patatjes met kipcorn,4: Drinken,3.0,0,"['patatjes', 'kipcorn', 'eten']","['eten', 'jullie', 'patatjes', 'kipcorn']",0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1334,Moet je vanavond ook een foto maken van je avondeten?,4: Drinken,,1,['avondet'],"['vanavond', 'foto', 'mak', 'avondet']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1335,Moet je nog een foto maken van je eten?,4: Drinken,,0,['eten'],"['foto', 'mak', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1336,Je kan helaas geen foto maken van het eten. Weten jullie misschien iets?,4: Drinken,,0,['eten'],"['helas', 'foto', 'mak', 'eten', 'wet', 'jullie', 'misschien']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1338,Je moer de telefoon meenemen. Want op school om 12 uur moet he foto maken van je eten. En in pauzes krijg je vragen. ,4: Drinken,,0,['eten'],"['moer', 'telefon', 'meenem', 'schol', '12', 'uur', 'he', 'foto', 'mak', 'eten', 'pauzes', 'krijg', 'vrag']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1349,Tijn rikhof moet jij dan de foto niet maken van je eten,4: Drinken,,0,['eten'],"['tijn', 'rikhof', 'jij', 'foto', 'mak', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1350,Hebben nog niet gegeten heb heel veel honger,4: Drinken,,0,['honger'],"['geget', 'hel', 'honger']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13333333333333333,0.0,0.0,1.0,0.0,0.0,4
1361,Hoe kun je foto's maken van je eten,4: Drinken,,0,['eten'],"['kun', 'foto', 'mak', 'eten']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1369,Wie heeft nu al vragen gehad van drinken en sport enzo? Want ik wel ,4: Drinken,,0,['drink'],"['vrag', 'gehad', 'drink', 'sport', 'enzo', 'wel']",0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1371,Het maakt muziek en zit in de koelkast rara wat is het ??????    :,4: Drinken,,1,['koelkast'],"['maakt', 'muziek', 'zit', 'koelkast', 'rara']",0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
1381,Ik krijg eeneens vragen.  Over wat jullie per dag drinken,4: Drinken,,0,['drink'],"['krijg', 'eenen', 'vrag', 'jullie', 'per', 'dag', 'drink']",0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
